sample_id,cluster,umap_1,umap_2
291,6,1.5483606,3.4224458
292,0,-3.2592828,6.3843527
293,6,2.4883015,2.9001994
294,-1,-0.14059548,3.3953378
295,7,-1.4822552,3.0233228
296,7,-0.789943,4.913653
297,10,13.591233,1.4456847
298,1,8.453859,10.4616995
299,6,1.3415654,2.959709
300,9,13.584106,-1.4522952
301,2,11.309693,10.400317
302,6,2.8983796,3.0165796
303,2,11.384447,10.089836
304,6,2.2044961,3.2754354
305,5,11.212787,-0.977758
306,6,1.748279,4.200739
307,0,-4.4796286,5.980761
308,1,8.362633,10.173786
309,5,11.153637,-0.8478316
310,-1,-1.8420315,4.3187346
311,10,12.93361,1.6515083
312,0,-4.16599,6.574712
313,2,12.132934,9.932963
314,0,-3.330382,6.493372
315,4,9.445096,4.6591616
316,7,-1.4026023,2.7611976
317,6,1.3312691,2.9333503
318,9,13.644984,-1.0492897
319,5,11.645123,-1.155876
320,7,-1.221818,2.8531318
321,6,1.8425393,3.9110818
322,0,-3.9837475,5.6591043
323,6,1.2250334,2.975828
324,6,2.6425776,3.826896
325,8,-0.09303331,1.8585505
326,7,-1.5960517,3.0907817
327,5,11.133788,-0.9204249
328,10,12.33453,1.0880773
329,2,11.475785,9.899583
330,2,10.177444,9.780443
331,10,12.713007,1.2603981
332,10,13.64244,-0.074727625
333,10,13.971826,0.81434745
334,0,-3.3489268,6.562235
335,7,-1.1530166,3.0114312
336,4,9.896533,4.5700274
337,2,11.319218,10.264966
338,2,12.100797,9.921326
339,10,13.667303,0.75519735
340,4,9.935635,4.8599887
341,2,11.890971,9.577628
342,2,10.959464,10.017186
343,10,13.373828,0.62800837
344,8,-0.117068805,1.9823979
345,6,1.9516408,3.704104
346,5,11.4603615,-0.33530033
347,8,1.1116871,1.484175
348,7,-0.8332681,4.788459
349,-1,0.24820761,4.2774568
350,8,-0.024445476,1.9442703
351,9,13.588391,-1.4020807
352,7,-1.1046685,4.0769687
353,0,-3.689593,6.414088
354,4,9.224471,4.774752
355,0,-3.8387227,6.770396
356,0,-3.5012686,6.6491556
357,9,13.593328,-1.274881
358,10,13.310345,0.15947768
359,5,11.125377,-0.90267456
360,6,2.754688,3.22213
361,10,13.889965,0.3568078
362,0,-4.206038,6.004743
363,10,13.89384,1.0998489
364,-1,0.38041565,3.0727406
365,0,-3.7189226,6.485126
366,2,10.186343,9.77558
367,7,-1.2538409,3.9523299
368,-1,0.78510034,3.7236412
369,6,1.4201211,4.183023
370,0,-4.166364,6.3161745
371,4,9.210691,4.8556194
372,0,-3.998949,6.21584
373,7,-0.74711853,4.901616
374,0,-3.7951372,6.689187
375,8,0.72743523,1.7018396
376,6,3.0219193,3.0559666
377,-1,10.609633,1.5922414
378,10,13.600683,0.12271488
379,2,11.100692,9.701628
380,-1,10.597521,1.566418
381,0,-4.41498,6.6957946
382,5,11.800455,-0.46526402
383,9,13.425086,-1.3249416
384,2,12.040227,9.927221
385,3,11.355891,4.4387565
386,10,13.50465,0.45344993
387,0,-3.8673646,6.0301795
388,5,11.152772,-1.0080498
389,10,14.007755,1.0300453
390,10,12.717892,1.6183386
391,4,9.912015,4.7347045
392,7,-1.0911773,4.1184793
393,7,-1.4629606,3.0822954
394,-1,0.48197737,3.005256
395,5,11.519068,-0.706716
396,7,-1.4722201,2.9406965
397,0,-4.0371213,6.3520465
398,9,13.586642,-1.5740907
399,9,14.267136,-1.3466674
400,9,14.315465,-1.433499
401,0,-4.4020624,6.1379657
402,3,11.306712,4.3782034
403,8,-0.10795028,1.9128771
404,7,-1.0026677,2.8748577
405,4,9.963351,5.077435
406,-1,10.76747,5.864594
407,4,9.612144,4.4490757
408,0,-4.0954623,6.5716925
409,6,1.1792,3.9632814
410,-1,-0.15244521,2.6001892
411,6,2.8435373,3.3676062
412,8,-0.015567692,1.9024565
413,6,1.7267872,4.2840924
414,0,-3.3835425,6.2455316
415,4,9.9747505,4.8565903
416,6,1.4392625,4.3109803
417,10,12.81967,1.5673754
418,0,-4.128211,6.4663253
419,9,13.344228,-1.4739481
420,10,13.754056,0.5075767
421,8,1.2249377,1.5424007
422,4,9.805882,4.9360576
423,0,-4.292697,6.0429344
424,-1,12.787407,2.1712878
425,-1,0.32766706,4.216765
426,7,-1.4469616,2.974323
427,10,12.870682,1.1924899
428,6,3.1232512,2.895991
429,-1,0.7804238,3.6944928
430,1,8.549727,10.335886
431,10,13.078974,0.15634757
432,0,-3.1683853,6.513312
433,0,-3.957715,6.168124
434,5,11.4516535,-1.1270489
435,0,-4.571978,6.683051
436,0,-3.7182536,6.363322
437,0,-3.6492991,6.6792493
438,5,12.173008,-0.72254056
439,10,12.90366,1.803223
440,7,-0.75943846,4.9123797
441,6,1.3665742,2.9716718
442,-1,10.603258,1.5611464
443,6,1.1416094,4.4429164
444,9,13.565051,-1.3103335
445,2,10.180541,9.797243
446,10,13.198609,0.5946747
447,4,9.286472,4.683583
448,10,13.945513,0.21466847
449,2,11.061692,10.085371
450,2,10.967161,9.497287
451,5,11.7726755,-1.0472904
452,-1,13.19554,-0.34084123
453,-1,0.8270157,3.7078512
454,6,1.6402476,4.3578076
455,2,11.1526785,10.436494
456,6,1.5689489,4.4679513
457,0,-3.5842729,6.625373
458,7,-0.9304445,3.962524
459,-1,0.13548782,3.289819
460,6,3.3202314,3.1342044
461,7,-1.0211788,2.9567792
462,5,11.33366,-1.1813761
463,1,8.371851,10.401597
464,3,11.2415495,4.3113127
465,10,12.938453,1.3685634
466,-1,12.81981,-1.2868997
467,6,3.569466,3.338794
468,10,13.354106,0.67958206
469,0,-4.2105556,6.1327176
470,6,1.4498383,2.8136902
471,6,2.9652224,3.2172568
472,8,-0.045561634,1.9311204
473,10,13.51131,1.2374855
474,10,13.736568,1.6556574
475,5,11.727313,-0.7556853
476,2,11.043093,9.573168
477,5,11.376984,-0.2595726
478,7,-1.646459,4.139516
479,10,13.770715,0.52369463
480,2,11.303595,9.770831
481,8,0.7104205,1.7108276
482,7,-0.7564708,4.893373
483,0,-4.355515,6.3010073
484,5,11.070847,-0.89921826
485,4,9.977854,4.3683915
486,1,8.568786,10.576134
487,6,2.6031015,3.842252
488,5,11.0591135,-0.93960065
489,10,12.785477,1.3078458
490,-1,13.212085,-0.32952136
491,6,3.32488,2.7565587
492,7,-1.3286645,3.3234243
493,7,-1.3938189,2.9250224
494,-1,1.2227627,2.3114648
495,6,3.2467694,3.4413433
496,1,8.571322,10.348014
497,4,9.713946,4.4724746
498,3,11.202824,4.412947
499,2,11.772017,9.561158
500,7,-1.1248351,2.879967
501,10,13.726417,1.4663978
502,6,0.6232603,3.9100232
503,0,-3.1452286,6.7009363
504,10,13.483281,0.54716927
505,6,3.4217136,2.9948256
506,10,13.166466,0.5701756
507,2,12.178651,10.035556
508,10,13.644407,0.45164594
509,6,2.6581583,3.2669742
510,5,11.489744,-0.27591637
511,-1,-1.9585402,4.4826427
512,10,12.831196,1.6396114
513,8,1.198997,1.6244881
